Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
271;Caris LeVert;SG;29;CLE;37;1;28.4;5.5;13;0.424;1.8;5.4;0.338;3.7;7.6;0.486;0.495;2.4;3.2;0.756;0.5;2.9;3.4;4.1;1.1;0.4;1.5;1.6;15.3
272;Kira Lewis Jr.;PG;22;TOT;16;0;9.1;1;3.3;0.308;0.1;1.3;0.1;0.9;2;0.438;0.327;0.6;0.7;0.909;0.3;0.6;0.9;1.1;0.3;0.1;0.5;0.6;2.8
272;Kira Lewis Jr.;PG;22;NOP;15;0;9.6;1.1;3.5;0.308;0.1;1.3;0.1;0.9;2.1;0.438;0.327;0.7;0.7;0.909;0.3;0.7;0.9;1.2;0.3;0.1;0.5;0.5;2.9
272;Kira Lewis Jr.;PG;22;TOR;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
273;Maxwell Lewis;SF;21;LAL;18;0;3.7;0.2;0.7;0.25;0.1;0.2;0.333;0.1;0.5;0.222;0.292;0;0;0;0.1;0.1;0.2;0.2;0.1;0;0.3;0.2;0.4
274;E.J. Liddell;PF;23;NOP;8;0;2.9;0.1;0.8;0.167;0;0.6;0;0.1;0.1;1;0.167;0.3;0.3;1;0;0.6;0.6;0.1;0.3;0.3;0.3;0.3;0.5
275;Damian Lillard;PG;33;MIL;46;46;35.3;7.5;17.4;0.428;3;8.5;0.351;4.5;8.9;0.502;0.514;7.3;7.9;0.923;0.6;3.7;4.3;6.8;1;0.2;2.5;1.6;25.2
276;Nassir Little;SF;23;PHO;28;2;13.4;1.6;3.4;0.484;0.6;1.9;0.308;1.1;1.5;0.698;0.568;0.6;0.7;0.85;0.5;1.7;2.2;0.6;0.4;0.3;0.4;1.1;4.5
277;Dereck Lively II;C;19;DAL;36;35;26;4.2;5.6;0.739;0;0.1;0;4.2;5.6;0.746;0.739;0.9;1.6;0.544;2.9;5;7.9;1.3;0.6;1.4;1.2;3.1;9.2
278;Isaiah Livers;PF;25;DET;23;6;20.4;1.7;5;0.345;1;3.3;0.286;0.8;1.7;0.462;0.44;0.5;0.8;0.667;0.7;1.4;2.1;1.1;0.6;0.2;0.7;1.9;5
279;Chris Livingston;SF;20;MIL;13;0;4.5;0.5;1;0.538;0.1;0.1;1;0.5;0.9;0.5;0.577;0.2;0.2;1;0.2;0.8;1;0.3;0.2;0;0.2;0.5;1.3
280;Kenneth Lofton Jr.;PF;21;TOT;16;0;6.4;0.9;2.4;0.359;0.2;0.6;0.3;0.7;1.8;0.379;0.397;0.5;0.9;0.533;0.1;0.9;1.1;0.9;0.2;0.2;0.5;0.9;2.4
280;Kenneth Lofton Jr.;PF;21;MEM;15;0;6.6;0.9;2.5;0.378;0.2;0.7;0.3;0.7;1.8;0.407;0.419;0.5;1;0.533;0.1;0.9;1;0.9;0.2;0.2;0.4;1;2.6
280;Kenneth Lofton Jr.;PF;21;PHI;1;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0
281;Kevon Looney;C;27;GSW;46;36;19.2;2.2;3.5;0.62;0;0;0;2.2;3.5;0.623;0.62;0.8;1.2;0.684;2.4;4.3;6.7;2.2;0.5;0.3;0.8;2.3;5.2
282;Brook Lopez;C;35;MIL;48;48;31.9;5;10.2;0.491;1.8;5.1;0.348;3.2;5.1;0.633;0.578;1.5;1.8;0.828;1.6;3.9;5.5;1.6;0.6;2.8;0.9;2.6;13.3
283;Robin Lopez;C;35;MIL;14;1;3;0.3;0.6;0.444;0.1;0.4;0.333;0.1;0.2;0.667;0.556;0.1;0.1;1;0.1;0.1;0.2;0.3;0;0.1;0.1;0.3;0.9
284;Kevin Love;PF;35;MIA;38;5;17.9;2.9;6.5;0.44;1.5;4.5;0.341;1.3;2.1;0.654;0.556;1.9;2.5;0.787;1.1;5.2;6.2;2.3;0.3;0.2;0.8;1.7;9.2
285;Kyle Lowry;PG;37;MIA;37;35;28;2.8;6.5;0.426;1.7;4.4;0.385;1.1;2.2;0.506;0.554;0.9;1.1;0.833;0.7;2.8;3.5;4;1.1;0.4;1.4;2.5;8.2
286;Seth Lundy;SF;23;ATL;9;0;5.8;0.4;1.9;0.235;0.3;1.4;0.231;0.1;0.4;0.25;0.324;0.3;0.4;0.75;0.1;0.7;0.8;0;0;0;0.1;0.7;1.6
287;Trey Lyles;PF;28;SAC;34;0;20.1;2.5;5.4;0.459;1.6;4;0.412;0.9;1.4;0.592;0.611;0.7;1.1;0.649;1;3.6;4.5;1.3;0.3;0.3;0.6;1.6;7.4
288;Théo Maledon;PG;22;CHO;13;1;15.4;1.5;5.1;0.288;0.4;2.3;0.167;1.1;2.8;0.389;0.326;0.8;0.9;0.917;0.3;1.5;1.8;2.2;0.5;0;1.2;1.4;4.2
289;Sandro Mamukelashvili;C;24;SAS;26;0;6.8;0.9;2.3;0.407;0.3;1.2;0.25;0.6;1;0.593;0.475;0.5;0.6;0.75;0.6;1.3;1.9;1;0.2;0.3;0.3;0.7;2.6
290;Terance Mann;SG;27;LAC;41;37;25.1;3;6.4;0.46;0.9;3;0.298;2.1;3.5;0.599;0.529;0.9;1.2;0.771;1.2;1.9;3.1;1.8;0.6;0.3;0.6;1.8;7.7
291;Tre Mann;PG;22;OKC;13;0;9.2;1.5;3.1;0.5;0.6;1.5;0.421;0.9;1.6;0.571;0.6;0.1;0.1;1;0.3;1.5;1.8;1.5;0.2;0;0.7;0.2;3.8
292;Boban Marjanovi?;C;35;HOU;9;0;5.3;1.1;2.3;0.476;0;0.2;0;1.1;2.1;0.526;0.476;0.3;0.7;0.5;0.7;1.8;2.4;0.4;0;0.1;0.2;0.4;2.6
293;Lauri Markkanen;PF;26;UTA;40;40;32.5;7.9;16;0.495;3.2;8.1;0.398;4.7;8;0.594;0.595;4.6;5.2;0.879;2.4;6.3;8.7;2;0.9;0.5;1.2;1.9;23.6
294;Naji Marshall;SF;26;NOP;40;1;18.5;2.6;5.7;0.447;0.8;2.2;0.371;1.7;3.5;0.496;0.52;1.4;1.8;0.781;1;2.6;3.5;2;0.7;0.2;1;1.5;7.4
295;Caleb Martin;SF;28;MIA;32;12;26.3;3.8;8.7;0.442;1.2;3.1;0.374;2.7;5.6;0.48;0.509;1.3;1.7;0.764;1.2;3.5;4.7;2.2;0.7;0.3;1.2;2.1;10.2
296;Cody Martin;SF;28;CHO;17;11;25.9;2.8;7.4;0.373;1;3;0.333;1.8;4.4;0.4;0.44;0.7;1.4;0.522;0.8;2.4;3.2;3.2;1.1;0.6;1.4;1.8;7.2
297;KJ Martin;SF;23;TOT;34;0;9.3;1.1;2.2;0.5;0.1;0.4;0.154;1.1;1.9;0.571;0.513;0.3;0.7;0.478;0.2;0.9;1.1;0.6;0.4;0.1;0.4;1.3;2.6
297;KJ Martin;SF;23;LAC;2;0;15.5;2;5;0.4;0.5;2.5;0.2;1.5;2.5;0.6;0.45;0.5;1;0.5;0.5;1;1.5;0.5;1;0.5;1;1.5;5
297;KJ Martin;SF;23;PHI;32;0;8.9;1.1;2.1;0.515;0;0.3;0.125;1;1.8;0.569;0.523;0.3;0.7;0.476;0.2;0.8;1.1;0.7;0.3;0;0.4;1.3;2.5
298;Garrison Mathews;SG;27;ATL;34;4;12.7;1.2;2.7;0.451;1.1;2.5;0.44;0.1;0.2;0.571;0.654;0.2;0.4;0.583;0.3;1;1.3;0.5;0.2;0.1;0.4;1.6;3.7
299;Bennedict Mathurin;SF;21;IND;48;15;25.8;5.2;11.2;0.463;1.3;3.5;0.371;3.9;7.7;0.504;0.521;3;3.6;0.838;1;2.9;3.9;2;0.6;0.2;1.7;1.9;14.6
300;Wesley Matthews;SG;37;ATL;20;1;11.3;0.6;2.3;0.267;0.4;1.8;0.229;0.2;0.5;0.4;0.356;0.7;1;0.737;0.2;1.2;1.4;0.6;0.5;0.2;0.3;1.4;2.3
301;Tyrese Maxey;PG;23;PHI;44;44;37.4;9;19.9;0.451;3.2;8.3;0.383;5.8;11.7;0.499;0.53;5.1;5.9;0.861;0.6;3;3.5;6.4;1;0.5;1.5;2.1;26.2
302;Skylar Mays;PG-SG;26;TOT;26;5;14.8;2.3;5.7;0.399;0.6;2;0.314;1.7;3.7;0.443;0.453;0.5;0.7;0.765;0.4;1.2;1.5;3.1;0.6;0.1;0.7;0.9;5.7
